time,l18,l30,isin,id,cs,cs_id,z,bvol,mv,eps,pe,tmin,tmax,pmin,pmax,py,pf,pl,plc,plp,pc,pcc,pcp,tno,tvol,tval,Buy_CountI,Buy_CountN,Sell_CountI,Sell_CountN,Buy_I_Volume,Buy_N_Volume,Sell_I_Volume,Sell_N_Volume,zd1,qd1,pd1,po1,qo1,zo1,zd2,qd2,pd2,po2,qo2,zo2,zd3,qd3,pd3,po3,qo3,zo3,zd4,qd4,pd4,po4,qo4,zo4,zd5,qd5,pd5,po5,qo5,zo5
12:23:40,زکوثر,سرمایه گذاری کشاورزی کوثر,IRO1KOSR0001,42599305106713939,زراعت و خدمات وابسته,1,2750000000,1,104335000000000,5967.0,6.4,35740,37940,37940,37940,36840,37940,37940,1100,2.99,37940,1100,2.99,71,306928,11644848320,3,1,47,1,230630,76298,62928,244000,237,18189282,37940,0,0,0,2,2629,36930,0,0,0,1,200,36850,0,0,0,1,100000,35760,0,0,0,1,200,35750,0,0,0
13:26:47,اوصتا,صندوق اندیشه ورزان صباتامین -د,IRT3AVSF0001,57761388729898548,صندوق سرمایه‌گذاری قابل معامله,68,3000000000,1,191160000000000,,,61731,65549,63719,63720,63640,63719,63720,80,0.13,63720,80,0.13,71,9572355,609947234209,26,5,23,2,588774,8983581,663875,8908480,2,42093661,63719,63720,23659736,1,1,100000,63718,63721,100000,1,1,100000,63717,63722,100000,1,1,100000,63716,63723,100000,1,1,100000,63715,63724,100000,1
12:02:58,سجام,مجتمع سیمان غرب آسیا,IRO3SASP0001,28328083629154916,سیمان، آهک و گچ,53,10000000000,1,60200000000000,1272.0,4.7,5680,6020,6020,6020,5850,6020,6020,170,2.91,6020,170,2.91,70,1888058,11366109160,11,0,34,2,1888058,0,553649,1334409,385,46095036,6020,0,0,0,1,3000,6000,0,0,0,1,4998,5980,0,0,0,1,2000,5970,0,0,0,2,3000,5960,0,0,0
12:29:55,کصدف,کاشی صدف سرام استقلال آباده,IRO7KSDP0001,42696242981550091,کاشی و سرامیک,49,2304000000,1,12372480000000,514.0,10.4,5180,5500,5180,5480,5340,5180,5450,110,2.06,5370,30,0.56,70,1195571,6416642410,21,1,30,2,1158282,37289,1108644,86927,1,9300,5400,5460,72343,2,1,12200,5380,5470,140262,1,1,10000,5370,5480,18000,1,1,10000,5350,5500,480989,5,2,20000,5340,0,0,0
12:02:10,نبابک,نساجی بابکان,IRO5BAKS0001,65378630011538741,منسوجات,17,1500000000,1,10275000000000,310.0,22.1,6850,7270,6850,6860,7060,6850,6850,-210,-2.97,6850,-210,-2.97,70,507524,3476719400,39,0,17,0,507524,0,507524,0,1,1000,6770,6850,1744037,216,0,0,0,6860,534,4,0,0,0,6960,133,1,0,0,0,7000,20133,2,0,0,0,7010,7539,3
12:29:49,شستان,پتروشیمی شهید رئیسی گلستان,IRO7STNP0001,3173544097113770,محصولات شیمیایی,44,5000000000,1,7060000000000,18.0,78.4,1337,1419,1389,1419,1378,1389,1419,41,2.98,1412,34,2.47,69,4319929,6101014229,22,0,22,1,4319929,0,2565589,1754340,1,35990,1392,1488,10000,1,2,200000,1375,1493,10000,1,1,50000,1370,0,0,0,1,397098,1350,0,0,0,5,477398,1337,0,0,0
12:29:56,خفنر,فنرسازی‌خاور,IRO1KFAN0001,28033133021443774,خودرو و ساخت قطعات,34,8934599000,1,13401898500000,103.0,14.6,1414,1500,1500,1500,1457,1500,1500,43,2.95,1500,43,2.95,69,8959429,13439143500,11,0,24,2,8959429,0,1059429,7900000,55,17775336,1500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12:22:33,ساربیل,سیمان آرتا اردبیل,IRO1SADB0001,34890845654517313,سیمان، آهک و گچ,53,1440000000,1,116481600000000,9818.0,8.2,76190,80890,80890,80890,78540,80890,80890,2350,2.99,80890,2350,2.99,69,1254334,101463077260,18,0,35,2,1254334,0,34368,1219966,120,720737,80890,0,0,0,1,50000,80800,0,0,0,2,850,78540,0,0,0,3,5200,76190,0,0,0,1,211,74040,0,0,0
11:51:31,ولنوینح,ح.لیزینگ اقتصاد نوین,IRR1VALE0101,57632534063673638,سایر واسطه‌گری‌های مالی,58,2000000000,1,2402000000000,0.0,0.0,1201,1275,1201,1201,1238,1201,1201,-37,-2.99,1201,-37,-2.99,69,385583,463085183,23,0,42,0,385583,0,385583,0,0,0,0,1201,5543967,1255,0,0,0,1202,8334,3,0,0,0,1208,234,2,0,0,0,1210,234,2,0,0,0,1211,7494,3
10:29:22,بانکدار,صندوق س صنایع اعتبار1-بخشی,IRT1BANC0001,63507121552152989,صندوق سرمایه‌گذاری قابل معامله,68,500000000,1,7763500000000,,,14633,15537,15498,15537,15085,15534,15537,452,3.0,15527,442,2.93,69,7438620,115497135610,28,2,22,1,2951592,4487028,4576592,2862028,29,13325504,15537,0,0,0,1,32000,15529,0,0,0,1,2000,15110,0,0,0,1,1000,14633,0,0,0,1,50000,14342,0,0,0
